Validator,PT_VERSION,2.13.0
Validator,HIP_VERSION,715
Validator,HIPBLASLT_VERSION,100401-8d1ae90e
Validator,GCN_ARCH_NAME,gfx1030
Validator,ROCBLAS_VERSION,5.6.0.8d1ae90e
GemmTunableOp_Half_TN,tn_4096_1600_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086327687,1.4893641869227092
GemmTunableOp_Half_TN,tn_2560_1600_1536_ld_1536_1536_2560,Gemm_Rocblas_-1086327719,0.562278699874878
GemmTunableOp_Half_TN,tn_336_4000_10240_ld_10240_10240_336,Gemm_Rocblas_-1086327722,1.2028587460517883
GemmTunableOp_Half_TN,tn_10240_1600_2560_ld_2560_2560_10240,Default,3.4266610145568848
GemmTunableOp_Half_TN,tn_512_2400_2560_ld_2560_2560_512,Gemm_Rocblas_-1086327722,0.3049439966678619
GemmTunableOp_Half_TN,tn_4096_2400_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086327687,2.0483949780464172
GemmTunableOp_Half_TN,tn_512_1600_2560_ld_2560_2560_512,Gemm_Rocblas_-1086327684,0.2213384985923767
GemmTunableOp_Half_TN,tn_3584_1600_2560_ld_2560_2560_3584,Gemm_Rocblas_-1086327908,1.3201304163251606
GemmTunableOp_Half_TN,tn_336_2400_10240_ld_10240_10240_336,Gemm_Rocblas_-1086327687,0.8649905979633332
GemmTunableOp_Half_TN,tn_4096_3200_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086327687,2.6948750019073486
GemmTunableOp_Half_TN,tn_336_1600_10240_ld_10240_10240_336,Gemm_Rocblas_-1086327722,0.6882919013500213
GemmTunableOp_Half_TN,tn_10240_2400_2560_ld_2560_2560_10240,Default,4.874141216278076
GemmTunableOp_Half_TN,tn_3584_2400_2560_ld_2560_2560_3584,Gemm_Rocblas_-1086327703,1.823599600791931
GemmTunableOp_Half_TN,tn_3584_3072_2560_ld_2560_2560_3584,Default,2.1776142716407776
GemmTunableOp_Half_TN,tn_512_3072_2560_ld_2560_2560_512,Gemm_Rocblas_-1086327917,0.35291939675807954
GemmTunableOp_Half_TN,tn_10240_3072_2560_ld_2560_2560_10240,Default,5.369811058044434
GemmTunableOp_Half_TN,tn_2560_3072_1536_ld_1536_1536_2560,Gemm_Rocblas_-1086327687,0.9427887916564941
GemmTunableOp_Half_TN,tn_4096_3072_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086327703,2.4409006436665854
GemmTunableOp_Half_TN,tn_10240_3072_320_ld_320_320_10240,Default,0.5975969970226287
GemmTunableOp_Half_TN,tn_336_3072_10240_ld_10240_10240_336,Gemm_Rocblas_-1086327908,0.8320548951625824
